filename,page_number,chunk_number,chunk
Python Ethical Hacking from Scratch.pdf,9,2,  124 Hackerserver  124 Victim'sclient  126 Runningcommandsremotely onthevictim'smachine  129 Navigatingdirectories  137 Summary  139 7 Advanced Malware Buildingakeyloggerfile transfer  141 Downloadingth
Python Ethical Hacking from Scratch.pdf,9,3,evictimfiletothe hacker  142Uploadingfilestothevictim  148 Takingscreenshots  149 Keylogger  151 Summary  156 8 Post Exploitation Packagingthemalware  157 Understandingthepyinstallerlibrary  158 Unders
Python Ethical Hacking from Scratch.pdf,9,4,tandingtrojans  162 Addinganicontoanexecutable  163 Creatingyourowntrojan  164AttackoverapublicIP  169 Crackingpasswords  170 Stealingpasswords  172 Creatingbotnets  174 Summary  178 9 System Protecti
Python Ethical Hacking from Scratch.pdf,9,5,on and Perseverance Persistencesystemprotection  180 Intrusiondetectionsystems  180 IDSdetectionmechanisms  181 BypassinganIDS  183Persistence  187 Summary  190 Whysubscribe?  191 Other Books You May Enjoy Index
Python Ethical Hacking from Scratch.pdf,10,1,"Preface Ethical hacking is a vast field, and with the increased need for cybersecurity in modern organizations, the demand for ethical hackers and penetration testers is increasing rapidly. This book aims to get you started on your journey in cybersecurity. Python is a general- purpose programming language that was developed by Guido van Rossum in 1991. Since then, it has "
Python Ethical Hacking from Scratch.pdf,10,2,"gained an enormous fanbase. Python is consistently ranked as the most preferred and most powerful programming language by hackers, and being able to use it for penetration testing is a highly desired skill for professionals. There is so much to learn about cybersecurity that it takes many years of experience to get the hang of things in this field. There is hardly any othe"
Python Ethical Hacking from Scratch.pdf,10,3,"r field that changes as rapidly as cybersecurity. In this book, we will start our journey by learning about the basics of hacking, and later in the book, we will focus on learning how hackers build their own tools. Who this book is for This book is intended for people who want to learn about ethical hacking by developing tools themselves instead of just using prebuilt tool"
Python Ethical Hacking from Scratch.pdf,10,4,"s; you will learn how to build hacking tools from scratch. This book is also intended for Python developers who want to dive into the world of ethical hacking. What this book covers Chapter 1, Introduction to Hacking , is where you will learn the fundamentals of hacking. Chapter 2, Getting Started – Setting Up a Lab Environment, sees you set up a lab environment. Chapter 3"
Python Ethical Hacking from Scratch.pdf,10,5,", Reconnaissance and Information Gathering , covers getting to know the victim. Chapter 4, Network Scanning , teaches you how to explore local networks. Chapter 5, Man in the Middle Attacks, goes into depth on how to attack a local network. Chapter 6, Malware Development , covers developing your own malware. Chapter 7, Advanced Malware , explores developing advanced features."
Python Ethical Hacking from Scratch.pdf,11,1,"vi Preface Chapter 8, Post Exploitation , looks at exploiting the victim machine. Chapter 9, System Protection and Perseverance, is all about protecting your system against external attacks. To get the most out of this book To get the most out of this book, try to follow all the examples included. "
Python Ethical Hacking from Scratch.pdf,11,2,"This book is designed to be hands-on, so practicing the development exercises will help you gain proper insight into attack methodologies. This book assumes that you are familiar with the Python programming language. If you are using the digital version of this book, we advise you to type the code "
Python Ethical Hacking from Scratch.pdf,11,3,yourself or access the code via the GitHub repository (link available in the next section). Doing so will help you avoid any potential errors related to the copying and pasting of code. Download the example code files Y ou can download the example code files for this book from GitHub at https://git
Python Ethical Hacking from Scratch.pdf,11,4,"hub.com/PacktPublishing/Python-Ethical-Hacking . In case there's an update to the code, it will be updated on the existing GitHub repository. We also have other code bundles from our rich catalog of books and videos available at https://github.com/PacktPublishing/ . Check them out! Download the col"
Python Ethical Hacking from Scratch.pdf,11,5,or images We also provide a PDF file that has color images of the screenshots/diagrams used in this book. Y ou can download it here: http://www.packtpub.com/sites/default/ files/downloads/9781838829506_ColorImages.pdf . Conventions used There are a number of text conventions used throughout this book.
Python Ethical Hacking from Scratch.pdf,12,1,"Preface vii Code in text : Indicates code words in text, database table names, folder names, filenames, file extensions, pathnames, dummy URLs, user input, and Twitter handles. Here is an example: ""This will open a dialog box, and you can select the kali machine ova file you just downloaded."" A block of code is set as follows: subprocess.run( ["""
Python Ethical Hacking from Scratch.pdf,12,2,"ifconfig"", ""eth0""], shell=True, ) Any command-line input or output is written as follows: sudo dpkg -i /path/to/file Bold : Indicates a new term, an important word, or words that you see onscreen. For example, words in menus or dialog boxes appear in the text like this. Here is an example: ""Press Ye s and you will see the following screen."" Tips"
Python Ethical Hacking from Scratch.pdf,12,3," or important notes Appear like this. Get in touch Feedback from our readers is always welcome. General feedback: If you have questions about any aspect of this book, mention the book title in the subject of your message and email us at customercare@packtpub.com . Errata: Although we have taken every care to ensure the accuracy of our content, m"
Python Ethical Hacking from Scratch.pdf,12,4,"istakes do happen. If you have found a mistake in this book, we would be grateful if you would report this to us. Please visit www.packtpub.com/support/errata , selecting your book, clicking on the Errata Submission Form link, and entering the details. Piracy: If you come across any illegal copies of our works in any form on the Internet, we wou"
Python Ethical Hacking from Scratch.pdf,12,5,"ld be grateful if you would provide us with the location address or website name. Please contact us at copyright@packt.com with a link to the material. If you are interested in becoming an author: If there is a topic that you have expertise in and you are interested in either writing or contributing to a book, please visit authors.packtpub.com ."
Python Ethical Hacking from Scratch.pdf,13,1,"viii Preface Reviews Please leave a review. Once you have read and used this book, "
Python Ethical Hacking from Scratch.pdf,13,2,why not leave a review on the site that you purchased it from? Potential readers ca
Python Ethical Hacking from Scratch.pdf,13,3,"n then see and use your unbiased opinion to make purchase decisions, we at Packt ca"
Python Ethical Hacking from Scratch.pdf,13,4,"n understand what you think about our products, and our authors can see your feedba"
Python Ethical Hacking from Scratch.pdf,13,5,"ck on their book. Thank you! For more information about Packt, please visit packt.com ."
Python Ethical Hacking from Scratch.pdf,14,1,Section 1: The Nuts and Bolts of Ethical Hacking – The Basics This part of the book deals with the ba
Python Ethical Hacking from Scratch.pdf,14,2,sic concepts you need to understand before embarking on this journey. It deals with the basic knowled
Python Ethical Hacking from Scratch.pdf,14,3,ge and skillset you need in order to fully take advantage of this book. It gives a short overview of 
Python Ethical Hacking from Scratch.pdf,14,4,the field of ethical hacking and what it entails. This part of the book comprises the following chapt
Python Ethical Hacking from Scratch.pdf,14,5,"ers: • Chapter 1, Introduction to Hacking • Chapter 2, Getting Started – Setting Up a Lab Environment"
Python Ethical Hacking from Scratch.pdf,16,1,1 Introduction to Hacking This chapter will give you a quick introduction to the nuts and bolts of hacking. Y ou will start exploring what the world of hacking entails and what it really takes to beco
Python Ethical Hacking from Scratch.pdf,16,2,me a hacker. Y ou will learn about what skill set is needed to become a successful hacker in the real world. We will also discuss some legal aspects of hacking and penetration testing and how you can 
Python Ethical Hacking from Scratch.pdf,16,3,"avoid getting into legal trouble. Then, we will explore what the different kinds of hackers are and what categories they fall into. In the later sections of this chapter, we will explore the general s"
Python Ethical Hacking from Scratch.pdf,16,4,"teps and guidelines we should follow in order to carry out a successful attack. Lastly, we will conclude this chapter by talking about different attack vectors. We will talk about both technical and p"
Python Ethical Hacking from Scratch.pdf,16,5,"ersonal penetration testing techniques. In this chapter, the following topics will be covered: • What's all the fuss about hackers? • What is hacking? • Becoming a successful hacker • Types of hackers"
Python Ethical Hacking from Scratch.pdf,17,1,4 Introduction to Hacking • Hacking phases and methodology • Careers in cybersecurity • Types of attacks Disclaimer All the information provided in this book is purely for educational purposes. The book aims to serve as a starting point for learning penetration testing. Use the information provided in this book at your own discretion. The author and publisher hold no responsibility for any malicious use of the work provided in this boo
Python Ethical Hacking from Scratch.pdf,17,2,"k and cannot be held responsible for any damages caused by the work presented in this book. Penetration testing or attacking a target without previous written consent is illegal and should be avoided at all costs. It is the reader's responsibility to be compliant with all their local, federal, state, and international laws. What's all the fuss about hackers? What comes to your mind when you think of the word hacker ? In recent decades,"
Python Ethical Hacking from Scratch.pdf,17,3," the word hacker has almost become synonymous with the notion of a genius computer nerd who can get access to any system within seconds and can control anything. From someone who can control traffic signals through their computer to someone penetrating the Pentagon's network, the world of movies and fiction has created a specific image of a hacker. Like everything else in movies, this is just a work of fiction; the real world of hackin"
Python Ethical Hacking from Scratch.pdf,17,4,"g and penetration testing is quite different and vastly more complex and challenging. The real world is filled with unknowns. Carrying out a successful attack on a victim requires a lot of patience, hard work, dedication, and probably a bit of luck. The world of computer security and hacking is a constant cat-and-mouse chase. Developers create a product, hackers try to break it and find vulnerabilities and exploit them, developers find"
Python Ethical Hacking from Scratch.pdf,17,5," out about these vulnerabilities and develop a patch for them, hackers find new vulnerabilities, and this cycle continues. Both actors try to outsmart each other in this constant race. With each iteration, the process becomes more and more complex, and attacks are becoming more and more sophisticated to bypass detection mechanisms. Similarly, detection mechanisms are also getting smarter and smarter. Y ou can clearly see a pattern here."
Python Ethical Hacking from Scratch.pdf,18,1,"What is hacking? 5 What is hacking? In this section, we will learn what hacking is and the relevant terminologies used in the industry. Knowledge of these items is essential to understanding the world of penetration testing, so it is a good idea to go through them at this point. The word hacking refers to the process of getting unauthorized access to a system. The system could be either a personal computer or a network in an organization"
Python Ethical Hacking from Scratch.pdf,18,2,". Y ou will often see the words hacking and penetration testing being used interchangeably in this book. Hacking is a more commonly understood umbrella term used for a lot of things. The focus of this book will be more on penetration testing, commonly referred to as ethical hacking , in which you have permission to attack the target. Penetration testing, or pen-testing for short, is an authorized simulated attack on a target. This is usu"
Python Ethical Hacking from Scratch.pdf,18,3,ally done to find the potential weaknesses and vulnerabilities in a system so that they are exposed before they can be exploited by malicious actors. Most recognized companies have some kind of penetration testing programs in place to find weaknesses in their ecosystem. Authorized individuals and cybersecurity companies are paid to carry out attacks on their assets to detect potential weak points. These attackers often make a complete re
Python Ethical Hacking from Scratch.pdf,18,4,"port of weaknesses and vulnerabilities, which helps these companies to patch them out. The following is a list of different nomenclature used in the industry: • Hacker: Someone who is acting to get unauthorized access to a system/network. • Target: An entity that is being attacked for malicious or testing purposes. • Asset : Any hardware, software, or data that is owned by an organization that could potentially come under attack. • Pen-t"
Python Ethical Hacking from Scratch.pdf,18,5,"est: The process of trying to infiltrate the system in order to test out its strengths and weaknesses. • Vulnerability: A weakness in a system that can potentially be used to take control of the target's machine. • Exploit : A program, code, or script that could take advantage of a system's vulnerability. • Malware : A program intended for malicious purposes. • Remote shell: A program that gives you control of the victim's machine remotely."
Python Ethical Hacking from Scratch.pdf,19,1,6 Introduction to Hacking These listed terms will be used in the following chapters. It is necessary to get familiar with these terms as we go into more details. One t
Python Ethical Hacking from Scratch.pdf,19,2,"erm you will often see when reading literature regarding penetration testing is the CIA triad (which stands for confidentiality, integrity, and availability): Figure 1"
Python Ethical Hacking from Scratch.pdf,19,3,.1 – CIA triad Most aspects of the hacking process involve breaching one or more of these aspects. Let's explore these terms in detail. Confidentiality Confidentiality
Python Ethical Hacking from Scratch.pdf,19,4," refers to an organization's attempt to keep its data private. This means that nobody should have access to the data without authorization, even inside the organizatio"
Python Ethical Hacking from Scratch.pdf,19,5,n. Organizations often have access control that dictates which level of access each user has to their data. The access levels are usually divided into these categories:
Python Ethical Hacking from Scratch.pdf,20,1,"What is hacking? 7 Confidentiality is violated when people get access to infrastructure that they are not supposed to, for example, an ex-employee of a company logging in to the system using their previous credentials or guests getting a higher access level th"
Python Ethical Hacking from Scratch.pdf,20,2,"an necessary in the network. To ensure confidentiality, it is imperative that strict controls are in place to avoid violating confidentiality criteria. Confidentiality is also violated if someone has access to company data but doesn't cause any damage. Take a "
Python Ethical Hacking from Scratch.pdf,20,3,"look at the following example: Figure 1.2 – Violation of confidentiality Let's say that John sends a message to Jack on a network. This message is only intended for Jack and no one else. The network is shared with various users. An unknown person, Mr. X, is al"
Python Ethical Hacking from Scratch.pdf,20,4,"so present in the network and he is listening to all the traffic on the network (also called sniffing ). The principle of confidentiality indicates that only Jack should be able to decode this message. If Mr. X intercepts this package, reads it, and then just "
Python Ethical Hacking from Scratch.pdf,20,5,"forwards it to Jack without modifying anything on the message, the confidentiality principle is said to be violated even though both John and Jack don't know that their traffic is intercepted. Network sniffing/monitoring violates the confidentiality principle."
Python Ethical Hacking from Scratch.pdf,21,1,8 Introduction to Hacking Integrity The integrity principle ensures that data has not been tampered with in any form and is reliable. Data integrity should be ensured in both static and transaction modes. Static integrity means that all files in the system remain intact and any unauthorized modification should be detected immediately. It also requires that data integrity should be maintained when transferred ov
Python Ethical Hacking from Scratch.pdf,21,2,"er a medium. Different techniques are used to ensure data integrity. One of the most common examples is the use of a checksum. A checksum is a string of characters that are calculated for a file to ensure it's not been modified. Y ou will often see checksums associated with files downloaded from the internet. Once a file is downloaded, you can calculate the checksum and compare it with the checksum present on t"
Python Ethical Hacking from Scratch.pdf,21,3,"he website; if both of them are equal, it means that data integrity was maintained during downloading. If even one bit has been changed during downloading, the whole checksum string would change. It is often used to prevent file spoofing/masking attacks where hackers intercept your download requests and instead of downloading your requested files, download malicious malware on your PC. Y ou should always compar"
Python Ethical Hacking from Scratch.pdf,21,4,"e the checksums of files to ensure that the files you download are in fact the same as those present on the server. In order to better understand the principle of integrity, let's take a look at the following example: Figure 1.3 – Violation of the integrity principle Let's say John sends a message to Jack that they should meet at 4 P .M. Mr. X is again intercepting the network traffic in a way that all the traf"
Python Ethical Hacking from Scratch.pdf,21,5,"fic between these two goes through Mr. X. Mr. X reads the message from John, changes the time from 4 P .M. to 6 P .M., and sends the message to Jack. Jack receives the message and thinks that John wants to meet at 6 P .M. instead of 4 P .M. Jack has no way of knowing the actual message. In this scenario, the principles of integrity and confidentiality are both violated. Mr. X was able to read and change the data."
Python Ethical Hacking from Scratch.pdf,22,1,"What is hacking? 9 Availability The last principle of availability requires that the data is available to authorized users when requested. Denial of Service (DoS) attacks violate this principle. In DoS attacks, the attackers try to overwhelm the system with a burst of requests so as to make the servers/systems unavailable for legitimate users. This is one of the most common attacks on websites. Attackers bombard "
Python Ethical Hacking from Scratch.pdf,22,2,"the website servers with requests, eventually taking them down. A wait period of a few seconds is now usually put in place for requests to be processed to discourage DoS attacks. Availability simply means that networks, systems, and servers are online when the user needs them. Disruption of even a few minutes can cause havoc for the organization. Let's take the same example to understand this better: Figure 1.4 –"
Python Ethical Hacking from Scratch.pdf,22,3," Violating availability by DoS Let's say again that John sends a message to Jack on the same network that Mr. X is intercepting. John sends a message to Jack to meet at 4 P .M. However, Mr. X intercepts this message and instead of forwarding it does nothing. John thinks that the message has been sent. However, Jack will never receive this message. In this case, the principle of availability is violated, because t"
Python Ethical Hacking from Scratch.pdf,22,4,"he message is not available to Jack. Another variation of violation of the availability principle is delaying messages. Let's say John sends an emergency message to Jack regarding some tasks that must be completed within a certain time frame. Mr. X delays the message so that the message is received by Jack after the passage of this time frame. Even though the correct message is received by John, the delay effecti"
Python Ethical Hacking from Scratch.pdf,22,5,"vely renders the message useless. This is also a serious violation of the availability principle. To keep systems secure and reliable, the CIA triad is very important. The goal of every cybersecurity expert is to maintain the system according to the CIA characteristics. Any violation of these principles leads to a breach in the cybersecurity of the system. Next, let's see what it takes to become a successful hacker."
Python Ethical Hacking from Scratch.pdf,23,1,"10 Introduction to Hacking Becoming a successful hacker In order to become a successful penetration tester, you will need a specific skill set. The first thing you will need is a strong desire to learn new technologies. The world of computing is changing at a very rapid pace and every few years, old tools and technologies are replaced. Y ou can't use one successful exploit and expect it to be useful 10 years down the line. This book will focus mostly on developing your own tools. Y ou won't be able to hack NASA with the tools developed in this book"
Python Ethical Hacking from Scratch.pdf,23,2," and that is not the idea of this book. This book is meant to serve as a starting point for you. The knowledge of the techniques and tools described in this book will help you to get started and then the sky is the limit. The first thing you need in order to become successful in this field is knowledge of computer systems and computer networks. Y ou won't be able to get very far without them. This book assumes that you have familiarity with computer networks and so on. When necessary, new terms will be explained. This book also assumes that you hav"
Python Ethical Hacking from Scratch.pdf,23,3,"e a fundamental knowledge of the Python programming language. We will use Python 3 in this book. Knowledge of these two components should be enough to follow this book. The world of penetration testing is quite huge and to be a hacker that stands out among the crowd, you will need to master a lot of technologies. This includes Linux, databases, hardware and memory access, reverse engineering, cryptography, networking, and analytical skills. Y ou should be proactive and be able to think quickly on your feet if you want to be successful. Most of the "
Python Ethical Hacking from Scratch.pdf,23,4,"systems present today are online and web-based hacking is one of the most prevalent forms of penetration testing. This means that knowledge of how the web works is essential in order to become a penetration tester. Fundamental knowledge of web-based technologies such as HTML, JavaScript, PHP , and SQL is essential. These topics will not be covered in this book as they do not fit into the scope of the book; however, in practical life, knowledge of these tools is quite useful for penetration testing. One of the critical skills needed for a successful"
Python Ethical Hacking from Scratch.pdf,23,5," ethical hacker is to think like a hacker. So, what does it means to think like a hacker ? The goal of hackers is to break into a system. A computer system is designed in an intuitive way so most people will be able to interact with it using minimal effort. All the security aspects of a system are designed with this methodology in mind. To be able to break into a system, your thinking process should be somewhat counter-intuitive or rather creative. Y ou need to be able to identify weak points to be attacked that could help you to compromise the system."
Python Ethical Hacking from Scratch.pdf,24,1,Becoming a successful hacker 11 Creating a tool that could help you to attack some system is one side of the hacking process while being able to successfully deploy your malware onto the target system without being detected is the other half of the equation. This is almost as important as the hacking tool itself. Once you id
Python Ethical Hacking from Scratch.pdf,24,2,"entify a target, your goal will be to think of a methodology by which you can deploy it to the system. There are many methods of deploying your code depending on what kind of access you can get to the system. These methods, such as phishing and Trojan horses, will be discussed later. Don't worry if these terms sound unfamili"
Python Ethical Hacking from Scratch.pdf,24,3,"ar to you. Once you have gone through this book, you will be familiar with most of these terms. Hacking requires you to be constantly up to date with the new technologies. The landscape in cybersecurity changes very abruptly and you need to be well versed in these changes. A good idea is to follow forums and websites dedicat"
Python Ethical Hacking from Scratch.pdf,24,4,ed to these matters. Hundreds of exploits are discovered and patched every day; you need to be at the right place at the right time to take advantage of them. The window of opportunity is often very small. A term commonly used in the cybersecurity space is zero-day exploit. Zero-day exploit refers to a vulnerability that has
Python Ethical Hacking from Scratch.pdf,24,5," not been patched yet. Often, a very limited number of people are aware of these and they tend to not disclose them so they can take maximum advantage of them. Once an exploit is out in the public, chances are that it will be patched very quickly, in some instances even in a couple of days: Figure 1.5 – Hacking skills pyramid"
Python Ethical Hacking from Scratch.pdf,25,1,"12 Introduction to Hacking The preceding diagram shows the skills pyramid according to the expertise of an ethical hacker. Reaching the top requires a combination of experience, analytical skills, and, most importantly, in-depth knowledge of computer systems. Legality The rule of thumb in penetration testing is that you should not be attacking a system you are not supposed to. Even if you work in a cybersecurity firm as a penetration tester, you must get written permission in order to test out the secu"
Python Ethical Hacking from Scratch.pdf,25,2,"rity of the system. Without written consent, you can get into a lot of legal trouble. Penetration testing often involves attacking the system with different attack vectors, which could often result in breaking the system. If you do not have prior permission, you will be liable for damages caused to their infrastructure. Pen-testing encompasses a wide variety of tests. In practical cases, the written contract of consent for testing must explicitly define the scope of the test. It should mention what typ"
Python Ethical Hacking from Scratch.pdf,25,3,"e of tests will be performed and what systems/assets will be targeted in the test. The testing should strictly remain confined to these predefined objectives. For example, testing for software code should not include testing the network security unless explicitly mentioned. Pen-testing could be done on production or live systems. If the asset under test is a live system, the user must be properly notified regarding the test and the potential damages associated with the test. Pen-testing is performed in"
Python Ethical Hacking from Scratch.pdf,25,4," different environments. Sometimes the users in the organization are aware of the pen-testing going on, and in other cases, only the top management knows about it so that they can test which individuals are a potential threat to the organization. If the users in the organization are already aware that a pen-test will be performed, it is a good idea to notify them in advance of the time of the test so that it doesn't interfere with the day-to-day activities of the organization. Next, let's learn about t"
Python Ethical Hacking from Scratch.pdf,25,5,"he types of hackers. Types of hackers As mentioned earlier, there is a specific image attached with the term hacker. However, in real life, hackers are categorized into various categories depending on the type of actions they perform. In the coming sections, we will explain the different types of hackers, what kind of experience they require, and what the legal aspects related to each type are. White hat hackers Aim: Defending the business and assets of an organization from external and malicious attacks."
Python Ethical Hacking from Scratch.pdf,26,1,"Types of hackers 13 White hat hackers refer to cybersecurity experts or penetration testers whose goal is to test the security of information systems. They are also called ethical hackers or the good guys . Their intention is to defend against malicious hackers, which will be discussed in a moment. White hat hackers use the same tools and technologies and have the same expertise regarding breaking into systems. The only difference lies in their intention. Their goal is to enhance the strength of the system and protect i"
Python Ethical Hacking from Scratch.pdf,26,2,"t from outside attacks. This book aims to help you to become an ethical hacker and help improve the security of the system. Becoming a successful ethical hacker requires years of expertise in learning technologies, understand the thinking process of hackers, and patience. Cybersecurity analysts and penetration testers are some of the highest-paid jobs in the field of computer science. Black hat hackers Aim: Breaking into the system with malicious intentions. Black hat hackers are usually criminals whose motive is to eit"
